pgChr	pgOrd	pgID	og	ofID	isRep	genome	chr	ord	isDirectSyn	isSynOgOnly	isArrayRep	isNSOrtho	id
1	23.65	71	125054	7_60580	TRUE	wheat	CM022222.1	61775	FALSE	FALSE	TRUE	FALSE	CFC21_063710
1	23.65	71	125054	3_9858	FALSE	brachy	Bd1	9859	FALSE	FALSE	TRUE	FALSE	Bradi1g78487
1	23.65	71	125054	0_33195	FALSE	Phallii	Chr09	33196	FALSE	FALSE	FALSE	FALSE	PhHAL.9G648100
1	23.65	71	125054	1_5665	FALSE	Sorghum	Chr01	5666	FALSE	FALSE	FALSE	FALSE	Sobic.001G538800
1	23.65	71	125054	2_38273	FALSE	Sviridis	Chr_09	38275	FALSE	FALSE	FALSE	FALSE	Sevir.9G578000
1	23.65	71	125054	3_9797	FALSE	brachy	Bd1	9799	FALSE	FALSE	FALSE	FALSE	Bradi1g78040
1	23.65	71	125054	5_15487	FALSE	rice	Chr3	15488	FALSE	FALSE	FALSE	FALSE	OsKitaake03g007400
1	23.65	71	125054	6_72508	FALSE	switchgrass	Chr09K	73309	FALSE	FALSE	FALSE	FALSE	Pavir.9KG557200
1	23.65	71	125054	7_54602	FALSE	wheat	CM022221.1	55654	FALSE	FALSE	FALSE	TRUE	CFC21_057418
1	23.65	71	125054	7_55495	FALSE	wheat	CM022221.1	56579	FALSE	FALSE	FALSE	TRUE	CFC21_058366
1	36.0606060606061	142	125023	7_60532	TRUE	wheat	CM022222.1	61727	FALSE	FALSE	TRUE	FALSE	CFC21_063661
1	36.0606060606061	142	125023	7_65954	FALSE	wheat	CM022223.1	67240	FALSE	FALSE	TRUE	FALSE	CFC21_069331
1	36.0606060606061	142	125023	0_33147	FALSE	Phallii	Chr09	33148	FALSE	FALSE	FALSE	FALSE	PhHAL.9G643200
1	36.0606060606061	142	125023	1_5580	FALSE	Sorghum	Chr01	5581	FALSE	FALSE	FALSE	FALSE	Sobic.001G530800
1	36.0606060606061	142	125023	2_38208	FALSE	Sviridis	Chr_09	38210	FALSE	FALSE	FALSE	FALSE	Sevir.9G572100
1	36.0606060606061	142	125023	6_72578	FALSE	switchgrass	Chr09K	73267	FALSE	FALSE	FALSE	FALSE	Pavir.9KG566400
1	36.0606060606061	142	125023	0_22520	FALSE	Phallii	Chr06	22521	FALSE	FALSE	FALSE	TRUE	PhHAL.6G292100
1	36.0606060606061	142	125023	1_25742	FALSE	Sorghum	Chr07	25743	FALSE	FALSE	FALSE	TRUE	Sobic.007G166200
1	36.0606060606061	142	125023	2_25158	FALSE	Sviridis	Chr_06	25159	FALSE	FALSE	FALSE	TRUE	Sevir.6G256400
1	36.0606060606061	142	125023	3_19026	FALSE	brachy	Bd3	19027	FALSE	FALSE	FALSE	TRUE	Bradi3g11280
1	36.0606060606061	142	125023	4_2996	FALSE	maize	1	2997	FALSE	FALSE	FALSE	TRUE	LOC542374
1	36.0606060606061	142	125023	5_12979	FALSE	rice	Chr2	12980	FALSE	FALSE	FALSE	TRUE	OsKitaake02g150400
1	36.0606060606061	142	125023	5_33533	FALSE	rice	Chr8	33534	FALSE	FALSE	FALSE	TRUE	OsKitaake08g251400
1	36.0606060606061	142	125023	6_50397	FALSE	switchgrass	Chr06K	50398	FALSE	FALSE	FALSE	TRUE	Pavir.6KG413200
1	36.0606060606061	142	125023	7_102817	FALSE	wheat	CM022231.1	104734	FALSE	FALSE	FALSE	TRUE	CFC21_108052
1	41.5	209	127899	7_65765	TRUE	wheat	CM022223.1	67051	FALSE	FALSE	TRUE	FALSE	CFC21_069135
